filename,label,category
t1391.80s.jpg,bad,teammate-as-target
t0856.23s.jpg,bad,teammate-as-target
t0115.57s.jpg,bad,teammate-as-target
t0392.67s.jpg,bad,teammate-as-target
t0324.93s.jpg,bad,teammate-as-target
t0044.23s.jpg,bad,teammate-as-target
t0594.77s.jpg,bad,teammate-as-target
t1039.20s.jpg,bad,teammate-as-target
t0598.70s.jpg,bad,teammate-as-target
t0525.53s.jpg,bad,teammate-as-target
t1275.33s.jpg,bad,teammate-as-target
t1262.93s.jpg,bad,teammate-as-target
t1437.20s.jpg,bad,other-bad
t0602.13s.jpg,good,
t1274.43s.jpg,bad,teammate-as-target
t1404.67s.jpg,bad,teammate-as-target
t1143.83s.jpg,bad,teammate-as-target
t0218.87s.jpg,bad,teammate-as-target
t0789.87s.jpg,bad,teammate-as-target
t0514.47s.jpg,bad,teammate-as-target
t0336.60s.jpg,good,
t0495.73s.jpg,bad,teammate-as-target
t1027.87s.jpg,good,
t0334.93s.jpg,good,
t0391.93s.jpg,bad,teammate-as-target
t0396.53s.jpg,good,
t1049.27s.jpg,good,
t0954.67s.jpg,bad,other-bad
t0897.10s.jpg,good,
t0802.20s.jpg,bad,other-bad
t0398.27s.jpg,good,
t1031.63s.jpg,good,
t1042.87s.jpg,bad,teammate-as-target
t0013.37s.jpg,good,
t0012.50s.jpg,good,
t0121.70s.jpg,good,
t0473.20s.jpg,good,
t0313.50s.jpg,good,
t0229.30s.jpg,good,
t1044.50s.jpg,good,
t1041.90s.jpg,good,
t0129.93s.jpg,good,
