filename,label,category
t1194.77s.jpg,bad,teammate-as-target
t0608.50s.jpg,bad,teammate-as-target
t0624.50s.jpg,bad,teammate-as-target
t0625.67s.jpg,bad,teammate-as-target
t0881.60s.jpg,bad,teammate-as-target
t0882.60s.jpg,bad,teammate-as-target
t0071.07s.jpg,bad,teammate-as-target
t1198.60s.jpg,bad,teammate-as-target
t0964.83s.jpg,bad,teammate-as-target
t0879.33s.jpg,bad,teammate-as-target
t0885.93s.jpg,bad,teammate-as-target
t0466.73s.jpg,bad,teammate-as-target
t0628.23s.jpg,bad,teammate-as-target
t1204.77s.jpg,bad,teammate-as-target
t1200.67s.jpg,bad,teammate-as-target
t0166.03s.jpg,bad,teammate-as-target
t0903.27s.jpg,bad,teammate-as-target
t0607.37s.jpg,bad,teammate-as-target
t0643.17s.jpg,bad,teammate-as-target
t0971.23s.jpg,bad,teammate-as-target
t1605.87s.jpg,bad,teammate-as-target
t1303.10s.jpg,good,
t0541.87s.jpg,bad,teammate-as-target
t0734.73s.jpg,bad,teammate-as-target
t0069.70s.jpg,bad,teammate-as-target
t0982.83s.jpg,bad,gun-viewmodel-as-head
t0824.47s.jpg,good,
t0307.00s.jpg,good,
t0974.03s.jpg,good,
t1696.00s.jpg,good,
t0473.70s.jpg,good,
t1388.37s.jpg,good,
t1298.67s.jpg,good,
t0019.60s.jpg,good,
t0083.23s.jpg,good,
t0822.53s.jpg,good,
t1373.13s.jpg,good,
t0475.07s.jpg,good,
t0898.37s.jpg,good,
